BLDG_LMT deductible evt_yr BLDG_AGE ShingleRoof FrameConstruction SingleFamily RPT_Delay paidloss HailSize
229100 250 2014 2 1 0 1 2.65279373059028 6150.07 2.5
348200 1500 2014 14 1 1 1 1.41126630418981 38590.51 3
25500 500 2014 74 1 1 1 6.43657984615741 5057.41 2.5
213700 500 2013 33 1 1 1 4.37045818607639 8948.12 2
204800 250 2013 26 1 1 1 1.76880881956019 9411.98 1.75
143200 250 2013 23 1 1 1 1.59204091084491 8457.48 1
352700 500 2013 19 0 1 1 20.4152242453125 31110.43 1.5
361000 1000 2014 41 0 0 1 28.4811698103819 23187.79 1.25
345500 1000 2013 40 0 0 1 52.5117796029282 0 1.25
217900 250 2013 19 1 1 1 1.56978800510417 8916.81 2
429100 2000 2013 10 0 1 1 3.43063521474537 43420.38 2
149400 500 2014 44 1 1 1 48.508025831412 0 2
179200 100 2013 32 1 1 1 9.44112779041667 7509.03 1.5
319900 250 2013 46 0 1 1 1.51455071875 18598.7 1.75
249300 1000 2013 23 1 1 1 16.7032754431366 14621.85 2
133200 250 2013 14 1 1 1 16.7557290642361 9318.83 1.5
170200 100 2013 22 1 1 1 29.7167585354514 7271.01 1.25
169900 1000 2013 9 1 1 1 15.6084970020023 4022.14 2.5
354700 1000 2013 19 0 0 1 8.70042089673611 20543.31 1.5
152400 1500 2013 35 1 1 1 34.7298854509028 0 1.75
203300 1000 2013 14 1 1 1 148.815373322002 18059.21 0.75
184100 1000 2014 7 1 1 1 18.6428233592245 0 0.75
283000 500 2013 7 1 1 1 14.7309700817708 27695.12 0.75
131400 1500 2013 6 1 1 1 13.5443370350694 3641.39 2.5
166000 1000 2014 41 1 1 1 10.4989653509838 5466.35 2.25
666700 1000 2014 18 1 0 1 1.41464841899306 0 1.25
152000 250 2013 14 1 1 1 1.37859846780093 4671.99 2.25
193000 500 2014 16 1 0 1 1.66147617953704 0 2
162800 250 2014 30 1 1 1 7.38589295277778 8636.64 2
197700 500 2013 29 1 1 1 1.41272393061343 8140.97 2
165600 250 2014 61 1 1 1 8.64482170550926 0 1
168800 500 2013 13 1 1 1 42.591844767662 7230.2 0.75
198200 250 2013 9 1 1 1 1.42349780086806 8654.31 2
170200 250 2013 40 1 1 1 2.44490588885417 7570.36 2
224900 250 2014 39 1 1 1 1.66415882795139 49047.95 1.75
215000 1000 2014 108 1 1 1 115.323502730301 0 1
226900 1000 2014 114 1 0 1 5.39628835768518 0 0.75
217900 250 2014 4 1 0 1 1.32204420646991 29891.44 1.5
296500 1000 2013 28 1 1 1 1.36573106604167 26228.54 1.25
163700 500 2014 114 1 0 1 1.42339864832176 19749.14 1.75
197600 250 2014 84 1 1 1 17.6553229763657 10000 2.5
200900 250 2014 37 1 1 1 1.34780229398148 14699.08 1.75
144900 250 2013 47 1 1 1 6.5526476978125 5870.55 1.75
120500 250 2013 38 1 1 1 9.43326682770833 6415.53 1
194300 250 2014 87 1 1 1 2.52812804274306 73586.52 1.75
259700 250 2013 42 1 1 1 0.494228066990741 2120.18 1.5
259700 250 2014 43 1 1 1 0.954201265810185 70246.68 1.5
169600 250 2013 24 1 1 1 16.6072035883218 10152.7 1
108500 500 2014 48 1 1 1 51.4906581397685 5929.9 3.25
137100 2500 2013 41 1 0 1 1.37684969212963 43418.32 3
292500 1000 2014 36 1 0 1 34.6664693274769 11885.5 1
